('Member_number', 'itemDescription')
('3756', 'pip fruit')
('3855', 'butter')
('3855', 'whole milk')
('4430', 'tropical fruit')
('4430', 'curd')
('4486', 'rolls/buns')
('4584', 'newspapers')
('4643', 'UHT-milk')
('4725', 'whole milk')
('1866', 'sausage')
('1866', 'bottled water')
('1866', 'baking powder')
('2597', 'pork')
('2597', 'onions')
('3257', 'root vegetables')
('3257', 'whole milk')
('3257', 'other vegetables')
('3257', 'dog food')
('3574', 'canned beer')
('3574', 'margarine')
('3611', 'curd')
('3946', 'whipped/sour cream')
('4073', 'whipped/sour cream')
('4461', 'white wine')
('4672', 'whole milk')
('4672', 'other vegetables')
('4888', 'finished products')
('4888', 'beverages')
('1394', 'whole milk')
('1873', 'yogurt')
('1873', 'pastry')
('1923', 'whole milk')
('1940', 'chewing gum')
('1940', 'domestic eggs')
('2017', 'pip fruit')
('2102', 'rolls/buns')
('2403', 'frankfurter')
('2403', 'pip fruit')
('2403', 'napkins')
('2633', 'brown bread')
('2633', 'whole milk')
('2633', 'root vegetables')
('3029', 'other vegetables')
('3029', 'shopping bags')
('3460', 'tropical fruit')
('3460', 'whole milk')
('3460', 'salt')
('3525', 'frankfurter')
('3525', 'frozen vegetables')
('3525', 'chicken')
('3525', 'oil')
('4112', 'citrus fruit')
('4112', 'curd')
('4112', 'canned beer')
('4616', 'condensed milk')
('4901', 'frankfurter')
('4901', 'fruit/vegetable juice')
('4937', 'bottled water')
('4941', 'citrus fruit')
('1703', 'bottled water')
('1703', 'mustard')
('1734', 'chocolate')
('1734', 'whipped/sour cream')
('2416', 'bags')
('2583', 'tropical fruit')
('2583', 'salt')
('2630', 'frankfurter')
('2630', 'fruit/vegetable juice')
('2874', 'sausage')
('2874', 'onions')
('3252', 'sausage')
('3252', 'mustard')
('3393', 'tropical fruit')
('3393', 'semi-finished bread')
('3684', 'ham')
('3684', 'chocolate')
('3911', 'pet care')
('3911', 'soda')
('3911', 'whipped/sour cream')
('3957', 'fruit/vegetable juice')
('4477', 'hamburger meat')
('4477', 'whole milk')
('4477', 'whipped/sour cream')
('4858', 'citrus fruit')
('1167', 'coffee')
('1167', 'domestic eggs')
('1968', 'whole milk')
('3385', 'frozen vegetables')
('3655', 'butter')
('3655', 'brown bread')
('3666', 'other vegetables')
('3774', 'chicken')
('3788', 'tropical fruit')
('3788', 'soda')
('3891', 'cat food')
('4261', 'bottled water')
('1850', 'soda')
('2485', 'onions')
('2485', 'pork')
('2708', 'instant coffee')
('2708', 'soda')
('2741', 'other vegetables')
('2741', 'soda')
('2851', 'chewing gum')
('2883', 'citrus fruit')
('2883', 'butter')
('3567', 'nut snack')
('3783', 'salt')
('4503', 'yogurt')
('4647', 'soda')
('4946', 'dog food')
('4946', 'chocolate')
('1217', 'dog food')
('1626', 'pastry')
('1626', 'chewing gum')
('2019', 'frankfurter')
('2313', 'shopping bags')
('2600', 'pork')
('2600', 'cake bar')
('2995', 'shopping bags')
('2995', 'flour')
('3130', 'canned beer')
('3693', 'berries')
('3772', 'waffles')
('3993', 'butter milk')
('3993', 'fruit/vegetable juice')
('4172', 'grapes')
('4172', 'pastry')
('4172', 'white bread')
('4202', 'soda')
('4277', 'soda')
('4277', 'whole milk')
('4277', 'shopping bags')
('4999', 'onions')
('1132', 'other vegetables')
('1132', 'semi-finished bread')
('1132', 'rolls/buns')
('1132', 'shopping bags')
('1342', 'pastry')
('2017', 'white wine')
('2745', 'oil')
('3470', 'root vegetables')
('4407', 'berries')
('4407', 'domestic eggs')
('4835', 'hamburger meat')
('4971', 'fruit/vegetable juice')
('1411', 'frankfurter')
('1411', 'specialty chocolate')
('1528', 'sausage')
('1621', 'ham')
('1621', 'canned fruit')
('1889', 'onions')
('2226', 'pork')
('2438', 'pork')
('3119', 'chicken')
('3119', 'newspapers')
('3147', 'citrus fruit')
('3204', 'oil')
('3397', 'citrus fruit')
('3397', 'curd')
('3692', 'coffee')
('4015', 'soft cheese')
('4759', 'ham')
('4759', 'beef')
('4759', 'baby cosmetics')
('4759', 'other vegetables')
('4759', 'margarine')
('4996', 'tropical fruit')
('1038', 'butter')
('1482', 'pip fruit')
('1482', 'cake bar')
('1608', 'hamburger meat')
('1703', 'pork')
('1703', 'waffles')
('3329', 'rolls/buns')
('3358', 'citrus fruit')
('3358', 'dog food')
('3358', 'rolls/buns')
('3358', 'soda')
('3358', 'whole milk')
('3358', 'whipped/sour cream')
('3390', 'abrasive cleaner')
('3390', 'yogurt')
('3390', 'frozen meals')
('3870', 'yogurt')
('3963', 'other vegetables')
('3963', 'liquor (appetizer)')
('3963', 'specialty bar')
('3963', 'red/blush wine')
('4783', 'cling film/bags')
('4783', 'whipped/sour cream')
('4920', 'pork')
('4920', 'yogurt')
('1651', 'bottled water')
('1873', 'frankfurter')
('1878', 'brown bread')
('2328', 'beef')
('2328', 'other vegetables')
('2328', 'brown bread')
('2575', 'citrus fruit')
('2575', 'beef')
('3333', 'rolls/buns')
('3369', 'butter')
('4303', 'sausage')
('4303', 'meat')
('4430', 'bottled beer')
('4430', 'hamburger meat')
('4430', 'other vegetables')
('4720', 'other vegetables')
('4760', 'grapes')
('1228', 'beverages')
('1383', 'tropical fruit')
('1421', 'citrus fruit')
('1493', 'beverages')
('1493', 'napkins')
('1512', 'salty snack')
('1540', 'ham')
('1697', 'tropical fruit')
('1842', 'cream cheese ')
('2811', 'chicken')
('2811', 'onions')
('2811', 'long life bakery product')
('2861', 'tropical fruit')
('2941', 'dessert')
('3037', 'cling film/bags')
('3037', 'ham')
('3054', 'frankfurter')
('3054', 'sausage')
('3145', 'beef')
('3276', 'whole milk')
('3276', 'snack products')
('3393', 'candy')
('3609', 'sausage')
('3609', 'frozen meals')
('4377', 'sweet spreads')
('4377', 'soda')
('4377', 'other vegetables')
('4434', 'other vegetables')
('4434', 'rolls/buns')
('4583', 'curd')
('4583', 'canned beer')
('4583', 'bottled beer')
('4667', 'sausage')
('4844', 'whole milk')
('1135', 'butter')
('1138', 'butter milk')
('1340', 'citrus fruit')
('1340', 'rolls/buns')
('1458', 'ice cream')
('1843', 'semi-finished bread')
('1982', 'frozen fruits')
('2058', 'red/blush wine')
('2681', 'soda')
('2984', 'mustard')
('3642', 'sausage')
('3642', 'domestic eggs')
('3642', 'dish cleaner')
('4216', 'rolls/buns')
('4536', 'cream cheese ')
('4536', 'bottled beer')
('4540', 'butter')
('4540', 'red/blush wine')
('4666', 'long life bakery product')
('4793', 'specialty chocolate')
('1027', 'red/blush wine')
('1355', 'sugar')
('2111', 'candles')
('2295', 'nuts/prunes')
('2476', 'canned beer')
('2764', 'beverages')
('2764', 'bottled water')
('2870', 'white bread')
('2870', 'pastry')
('2870', 'frozen meals')
('3204', 'berries')
('3543', 'citrus fruit')
('3543', 'brown bread')
('4091', 'sausage')
('4395', 'ham')
('4395', 'candy')
('4417', 'grapes')
('4417', 'frozen dessert')
('4417', 'detergent')
('4420', 'rolls/buns')
('4420', 'red/blush wine')
('4741', 'whole milk')
('4843', 'waffles')
('4843', 'yogurt')
('1133', 'sausage')
('1133', 'rice')
('1225', 'shopping bags')
('1225', 'flour')
('1351', 'other vegetables')
('1438', 'cream cheese ')
('1711', 'whole milk')
('1753', 'sausage')
('1753', 'butter milk')
('1758', 'pip fruit')
('1758', 'bottled water')
('1758', 'yogurt')
('2031', 'dog food')
('2031', 'misc. beverages')
('2561', 'root vegetables')
('2561', 'whipped/sour cream')
('2610', 'rolls/buns')
('2610', 'shopping bags')
('3139', 'pip fruit')
('3139', 'frozen vegetables')
('3139', 'abrasive cleaner')
('3175', 'cream cheese ')
('3635', 'grapes')
('3635', 'frozen dessert')
('3718', 'frankfurter')
('3718', 'specialty chocolate')
('3736', 'bottled water')
('4090', 'curd')
('4090', 'cream cheese ')
('4348', 'beverages')
('4665', 'sausage')
('4916', 'other vegetables')
('1648', 'sausage')
('1934', 'napkins')
('2234', 'root vegetables')
('2251', 'bottled beer')
('2361', 'citrus fruit')
('2799', 'chocolate')
('3160', 'pip fruit')
('3420', 'beef')
('3420', 'root vegetables')
('3590', 'shopping bags')
('3922', 'chocolate')
('4249', 'pip fruit')
('4310', 'spices')
('4933', 'pot plants')
('1355', 'tropical fruit')
('1405', 'artif. sweetener')
('1422', 'canned beer')
('1422', 'whole milk')
('1514', 'rolls/buns')
('1514', 'whole milk')
('1545', 'white wine')
('2046', 'pork')
('2046', 'bottled water')
('2046', 'tea')
('2202', 'pork')
('2348', 'citrus fruit')
('2348', 'tropical fruit')
('2348', 'soda')
('3072', 'spread cheese')
('3072', 'yogurt')
('3299', 'onions')
('3299', 'bottled water')
('3299', 'hard cheese')
('3472', 'specialty chocolate')
('3508', 'frozen dessert')
('3910', 'photo/film')
('4471', 'butter')
('4681', 'sausage')
('4877', 'meat')
('4877', 'bottled water')
('1546', 'butter')
('1546', 'root vegetables')
('1546', 'whipped/sour cream')
('1546', 'red/blush wine')
('1684', 'coffee')
('1684', 'oil')
('1837', 'root vegetables')
('2391', 'pip fruit')
('2573', 'hard cheese')
('2573', 'yogurt')
('2617', 'soda')
('3178', 'yogurt')
('3316', 'yogurt')
('3316', 'abrasive cleaner')
('3821', 'pastry')
('3821', 'newspapers')
('3821', 'chewing gum')
('3944', 'onions')
('3944', 'baking powder')
('4031', 'frankfurter')
('4529', 'whole milk')
('4529', 'tropical fruit')
('4529', 'soda')
('4766', 'root vegetables')
('4766', 'bottled beer')
('4766', 'margarine')
('4856', 'beverages')
('1270', 'citrus fruit')
('1270', 'cereals')
('1465', 'sausage')
('1785', 'turkey')
('1785', 'soda')
('1887', 'tropical fruit')
('1887', 'citrus fruit')
('1887', 'whipped/sour cream')
('1934', 'beverages')
('2236', 'fruit/vegetable juice')
('2236', 'meat')
('2236', 'frozen meals')
('2509', 'yogurt')
('2855', 'herbs')
('2927', 'frozen vegetables')
('3189', 'yogurt')
('3189', 'candles')
('3370', 'liquor (appetizer)')
('3386', 'yogurt')
('3984', 'frankfurter')
('3984', 'liver loaf')
('3984', 'condensed milk')
('4847', 'sliced cheese')
('4867', 'whole milk')
('4889', 'domestic eggs')
('4889', 'bottled water')
('1213', 'chicken')
('1213', 'pork')
('1213', 'newspapers')
('1213', 'dessert')
('1756', 'other vegetables')
('1822', 'tropical fruit')
('1822', 'rolls/buns')
('2001', 'citrus fruit')
('2001', 'whole milk')
('2521', 'bottled water')
('2654', 'root vegetables')
('2654', 'citrus fruit')
('2654', 'cat food')
('3117', 'brown bread')
('3117', 'misc. beverages')
('3307', 'pork')
('3319', 'soda')
('3647', 'frozen meals')
('3647', 'specialty chocolate')
('4571', 'bottled water')
('4571', 'newspapers')
('1332', 'processed cheese')
('1332', 'rolls/buns')
('1333', 'frozen meals')
('1333', 'sausage')
('1333', 'frozen vegetables')
('1346', 'other vegetables')
('1346', 'tropical fruit')
('1346', 'sweet spreads')
('1388', 'UHT-milk')
('1388', 'root vegetables')
('2516', 'pip fruit')
('2516', 'yogurt')
('2516', 'newspapers')
('3276', 'root vegetables')
('3276', 'chocolate')
('3405', 'photo/film')
('3405', 'other vegetables')
('3405', 'brown bread')
('3405', 'margarine')
('3558', 'specialty chocolate')
('3573', 'meat')
('3573', 'sliced cheese')
('4040', 'whole milk')
('4281', 'rolls/buns')
('4281', 'margarine')
('4281', 'whole milk')
('4281', 'liquor (appetizer)')
('4397', 'pastry')
('4397', 'yogurt')
('4581', 'pork')
('4581', 'onions')
('4736', 'beef')
('4869', 'soda')
('1081', 'baking powder')
('1404', 'bottled water')
('1404', 'oil')
('1404', 'sausage')
('1404', 'waffles')
('1404', 'frozen meals')
('1715', 'whole milk')
('1715', 'curd')
('1974', 'fish')
('1974', 'brown bread')
('2178', 'sausage')
('2178', 'salty snack')
('2201', 'specialty chocolate')
('2201', 'butter milk')
('2518', 'pork')
('3012', 'onions')
('3194', 'UHT-milk')
('3334', 'chicken')
('4069', 'pork')
('4069', 'pastry')
('4069', 'pot plants')
('4069', 'newspapers')
('4161', 'tropical fruit')
('4161', 'whipped/sour cream')
('4170', 'sausage')
('4170', 'frozen meals')
('4717', 'pip fruit')
('1299', 'bottled beer')
('1299', 'whole milk')
('1299', 'other vegetables')
('1464', 'other vegetables')
('2022', 'rolls/buns')
('2022', 'other vegetables')
('2563', 'rolls/buns')
('2563', 'whole milk')
('2646', 'liver loaf')
('4171', 'yogurt')
('4171', 'pastry')
('4171', 'chewing gum')
('4171', 'butter milk')
('4178', 'margarine')
('4839', 'pastry')
('4989', 'pip fruit')
('4989', 'long life bakery product')
('1535', 'pip fruit')
('1793', 'chicken')
('1793', 'newspapers')
('1885', 'butter')
('1885', 'soda')
('1958', 'hamburger meat')
('1958', 'liquor')
('1958', 'cream cheese ')
('2056', 'bottled water')
('2290', 'specialty fat')
('2441', 'rolls/buns')
('2518', 'beverages')
('2807', 'tropical fruit')
('2807', 'sweet spreads')
('3180', 'sausage')
('3180', 'pastry')
('3180', 'newspapers')
('3294', 'beef')
('3410', 'coffee')
('3891', 'rolls/buns')
('3891', 'shopping bags')
('4560', 'frankfurter')
('4560', 'waffles')
('4780', 'sausage')
('4780', 'beverages')
('4836', 'newspapers')
('4890', 'ham')
('4890', 'tidbits')
('1133', 'domestic eggs')
('1513', 'specialty bar')
('1513', 'other vegetables')
('1513', 'chocolate')
('1613', 'canned vegetables')
('1613', 'flour')
('2151', 'rolls/buns')
('2151', 'margarine')
('2151', 'soda')
('2357', 'onions')
('2357', 'canned fish')
('2563', 'ham')
('2864', 'shopping bags')
('2999', 'meat spreads')
('3186', 'ham')
('3186', 'rolls/buns')
('3481', 'citrus fruit')
('3481', 'root vegetables')
('3481', 'dishes')
('3481', 'curd')
('3481', 'rolls/buns')
('3481', 'candy')
('3671', 'dishes')
('3675', 'salty snack')
('3675', 'white wine')
('4035', 'whole milk')
('4156', 'salty snack')
('4302', 'instant coffee')
('4413', 'beverages')
('4648', 'bottled water')
('4702', 'dessert')
('1839', 'herbs')
('2062', 'bottled beer')
('2152', 'chicken')
('2152', 'whisky')
('2171', 'soft cheese')
('2171', 'long life bakery product')
('2193', 'hamburger meat')
('2193', 'soda')
('2372', 'other vegetables')
('2372', 'soda')
('2375', 'pork')
('2494', 'UHT-milk')
('2780', 'herbs')
('2788', 'butter')
('3447', 'root vegetables')
('3447', 'whole milk')
('3708', 'pastry')
('3708', 'cake bar')
('3719', 'meat')
('3719', 'cleaner')
('3850', 'curd cheese')
('3927', 'tropical fruit')
('3927', 'other vegetables')
('4002', 'tropical fruit')
('4002', 'whole milk')
('4457', 'rolls/buns')
('4457', 'ice cream')
('4457', 'pasta')
('4457', 'margarine')
('4466', 'citrus fruit')
('4510', 'shopping bags')
('4546', 'chicken')
('4546', 'waffles')
('4724', 'citrus fruit')
('4724', 'hamburger meat')
('4873', 'waffles')
('4873', 'beverages')
('1008', 'hamburger meat')
('1008', 'liquor (appetizer)')
('1014', 'bottled beer')
('1265', 'brown bread')
('1559', 'napkins')
('1894', 'other vegetables')
('1894', 'soda')
('1968', 'citrus fruit')
('2209', 'bottled beer')
('2209', 'other vegetables')
('2209', 'butter')
('2361', 'soda')
('2361', 'other vegetables')
('2625', 'rolls/buns')
('2706', 'newspapers')
('2706', 'bottled water')
('3450', 'berries')
('3697', 'spread cheese')
('4218', 'frankfurter')
('4223', 'meat')
('4251', 'berries')
('4251', 'yogurt')
('4251', 'soups')
('4695', 'pet care')
('4827', 'root vegetables')
('4827', 'rolls/buns')
('4875', 'dessert')
('1301', 'pot plants')
('1301', 'pip fruit')
('1323', 'syrup')
('1796', 'butter')
('2723', 'meat')
('2723', 'yogurt')
('2880', 'liver loaf')
('2880', 'onions')
('3760', 'soda')
('3827', 'frozen meals')
('3827', 'soft cheese')
('4084', 'semi-finished bread')
('4102', 'newspapers')
('4191', 'tropical fruit')
('4191', 'whipped/sour cream')
('4380', 'berries')
('4380', 'coffee')
('4380', 'rice')
('4463', 'pork')
('4463', 'liver loaf')
('4519', 'napkins')
('4829', 'tropical fruit')
('1073', 'dishes')
('1615', 'yogurt')
('1615', 'pastry')
('1615', 'canned fish')
('1634', 'curd')
('1763', 'frankfurter')
('1763', 'frozen vegetables')
('1777', 'yogurt')
('1777', 'pip fruit')
('1865', 'margarine')
('2231', 'whipped/sour cream')
('2981', 'whole milk')
('3053', 'chewing gum')
('3088', 'whole milk')
('3170', 'yogurt')
('3662', 'whole milk')
('3778', 'whole milk')
('3778', 'rolls/buns')
('3847', 'hamburger meat')
('3847', 'organic sausage')
('3879', 'hamburger meat')
('3879', 'whipped/sour cream')
('3879', 'rolls/buns')
('4105', 'curd')
('4105', 'whole milk')
('4238', 'pastry')
('4238', 'onions')
('4832', 'frankfurter')
('4832', 'brandy')
('1340', 'root vegetables')
('1489', 'pork')
('1567', 'whipped/sour cream')
('1567', 'rolls/buns')
('1567', 'citrus fruit')
('1567', 'candy')
('1567', 'bottled beer')
('1567', 'whole milk')
('2412', 'bottled beer')
('2468', 'bottled beer')
('2468', 'rolls/buns')
('2468', 'semi-finished bread')
('2787', 'citrus fruit')
('2787', 'UHT-milk')
('2864', 'citrus fruit')
('2864', 'tropical fruit')
('3093', 'shopping bags')
('3135', 'sausage')
('3640', 'rolls/buns')
('3778', 'soda')
('4007', 'bottled water')
('4120', 'rolls/buns')
('4163', 'tropical fruit')
('4163', 'soda')
('4355', 'canned beer')
('4355', 'misc. beverages')
('4408', 'white bread')
('4606', 'canned beer')
('4606', 'rolls/buns')
('4606', 'whole milk')
('4693', 'female sanitary products')
('4768', 'pork')
('4768', 'yogurt')
('4951', 'pork')
('1029', 'ham')
('1161', 'yogurt')
('1161', 'spread cheese')
('1308', 'pork')
('1377', 'other vegetables')
('1377', 'herbs')
('1391', 'rolls/buns')
('1668', 'herbs')
('1668', 'curd')
('1718', 'frankfurter')
('1718', 'frozen vegetables')
('2167', 'citrus fruit')
('2167', 'soda')
('2433', 'soda')
('2433', 'beef')
('2433', 'rolls/buns')
('2433', 'shopping bags')
('2433', 'chocolate')
('2433', 'processed cheese')
('2433', 'brown bread')
('2519', 'sausage')
('2519', 'yogurt')
('2519', 'fruit/vegetable juice')
('2894', 'newspapers')
('3166', 'UHT-milk')
('3224', 'frankfurter')
('3584', 'photo/film')
('3604', 'sugar')
('3604', 'whole milk')
('3723', 'snack products')
('4349', 'citrus fruit')
('4914', 'pip fruit')
('4914', 'pastry')
('1000', 'semi-finished bread')
('1026', 'candy')
('1026', 'butter')
('1283', 'whole milk')
('1283', 'cream cheese ')
('1932', 'UHT-milk')
('2714', 'chocolate')
('2715', 'sausage')
('2908', 'canned beer')
('2908', 'misc. beverages')
('3273', 'sausage')
('3289', 'misc. beverages')
('3728', 'specialty chocolate')
('3806', 'yogurt')
('3806', 'soft cheese')
('4230', 'sausage')
('4936', 'tropical fruit')
('4990', 'soda')
('1577', 'beef')
('1577', 'cream cheese ')
('2069', 'citrus fruit')
('2069', 'sugar')
('2851', 'spread cheese')
('2851', 'candles')
('2918', 'red/blush wine')
('2925', 'yogurt')
('3428', 'beverages')
('3428', 'cake bar')
('3428', 'frozen meals')
('4559', 'hard cheese')
('4700', 'ham')
('4700', 'cream cheese ')
('2248', 'newspapers')
('2616', 'pork')
('2800', 'long life bakery product')
('3175', 'curd')
('4207', 'frozen dessert')
('4810', 'newspapers')
('4812', 'canned beer')
('4934', 'other vegetables')
('1104', 'domestic eggs')
('1425', 'ham')
('1425', 'brown bread')
('1455', 'ham')
('1455', 'specialty bar')
('1733', 'whole milk')
('1733', 'root vegetables')
('1811', 'white wine')
('2129', 'pip fruit')
('2129', 'fruit/vegetable juice')
('2284', 'frozen fish')
('2284', 'rolls/buns')
('2327', 'bottled beer')
('2327', 'whipped/sour cream')
('2327', 'margarine')
('2772', 'tropical fruit')
('3543', 'tropical fruit')
('3562', 'salty snack')
('3687', 'frankfurter')
('3687', 'white wine')
('4013', 'sausage')
('4077', 'yogurt')
('4077', 'curd cheese')
('4077', 'pastry')
('4198', 'beef')
('4439', 'artif. sweetener')
('4598', 'brown bread')
('4817', 'whole milk')
('1087', 'chocolate')
('1170', 'sparkling wine')
('1448', 'pork')
('1959', 'citrus fruit')
('1959', 'other vegetables')
('2164', 'fruit/vegetable juice')
('2471', 'misc. beverages')
('2784', 'dog food')
('3245', 'hamburger meat')
('3245', 'margarine')
('3854', 'citrus fruit')
('3854', 'shopping bags')
('3872', 'frankfurter')
('4019', 'grapes')
('4219', 'other vegetables')
('4417', 'chicken')
('4417', 'fruit/vegetable juice')
('4682', 'root vegetables')
('1229', 'newspapers')
('1233', 'margarine')
('1233', 'soda')
('1233', 'canned beer')
('1553', 'frozen fish')
('1570', 'other vegetables')
('1570', 'whipped/sour cream')
('1591', 'soap')
('1734', 'beef')
('1734', 'rum')
('1734', 'brown bread')
('2238', 'cream cheese ')
('2517', 'domestic eggs')
('2592', 'rolls/buns')
('2678', 'tropical fruit')
('2678', 'whole milk')
('2678', 'rolls/buns')
('2762', 'newspapers')
('2868', 'pork')
('2932', 'detergent')
('3168', 'coffee')
('3205', 'sausage')
('3205', 'detergent')
('3217', 'cream cheese ')
('4115', 'fruit/vegetable juice')
('4115', 'pastry')
('4149', 'pasta')
('4388', 'sausage')
('4388', 'newspapers')
('4708', 'sausage')
('4708', 'salty snack')
('4818', 'other vegetables')
('1158', 'yogurt')
('1345', 'whole milk')
('1345', 'citrus fruit')
('1500', 'whole milk')
('1711', 'bottled beer')
('1711', 'citrus fruit')
('1711', 'shopping bags')
('1820', 'pastry')
('2206', 'pudding powder')
('2295', 'root vegetables')
('2729', 'bottled water')
('3179', 'sausage')
('3554', 'meat')
('3595', 'dessert')
('3913', 'frozen meals')
('3913', 'pastry')
('4125', 'citrus fruit')
('4179', 'frankfurter')
('4273', 'citrus fruit')
('4273', 'whole milk')
('4456', 'dessert')
('4655', 'meat')
('4655', 'pip fruit')
('1015', 'salty snack')
('1239', 'sausage')
('1476', 'whole milk')
('1511', 'ice cream')
('1511', 'shopping bags')
('1620', 'frozen dessert')
('1620', 'napkins')
('2011', 'frankfurter')
('2011', 'pip fruit')
('2011', 'onions')
('2400', 'white wine')
('2517', 'napkins')
('2625', 'citrus fruit')
('2625', 'shopping bags')
('2625', 'cream cheese ')
('2706', 'frankfurter')
('2706', 'white wine')
('2706', 'detergent')
('2706', 'popcorn')
('2876', 'sausage')
('2876', 'fruit/vegetable juice')
('2876', 'coffee')
('2885', 'tropical fruit')
('2885', 'nut snack')
('3062', 'shopping bags')
('3062', 'whole milk')
('3481', 'soda')
('3481', 'beef')
('3481', 'bottled beer')
('3674', 'beverages')
('3856', 'sausage')
('3856', 'sliced cheese')
('4053', 'canned beer')
('4053', 'whole milk')
('4503', 'pip fruit')
('1381', 'beverages')
('1381', 'domestic eggs')
('1406', 'whipped/sour cream')
('1406', 'sparkling wine')
('1771', 'frankfurter')
('1771', 'sausage')
('1952', 'tropical fruit')
('1952', 'canned beer')
('2066', 'whole milk')
('2066', 'pasta')
('2392', 'sausage')
('2392', 'onions')
('2469', 'onions')
('2930', 'oil')
('2930', 'pastry')
('2930', 'newspapers')
('3369', 'beef')
('3369', 'UHT-milk')
('3595', 'sausage')
('3899', 'other vegetables')
('3899', 'tropical fruit')
('3926', 'other vegetables')
('4748', 'pork')
('4748', 'newspapers')
('4748', 'napkins')
('1328', 'ham')
('1328', 'shopping bags')
('1328', 'whole milk')
('1328', 'butter')
('1583', 'liquor')
('1828', 'grapes')
('1828', 'bottled water')
('1943', 'bottled water')
('2070', 'citrus fruit')
('2070', 'other vegetables')
('2310', 'dessert')
('2310', 'long life bakery product')
('2310', 'berries')
('2310', 'sausage')
('2310', 'grapes')
('2310', 'frozen meals')
('2485', 'pip fruit')
('2485', 'dessert')
('2485', 'hard cheese')
('2840', 'frankfurter')
('3404', 'pasta')
('3404', 'shopping bags')
('3479', 'frankfurter')
('3809', 'soda')
('3809', 'ham')
('4295', 'sausage')
('4338', 'ham')
('4468', 'canned beer')
('4468', 'curd')
('4468', 'bottled beer')
('4748', 'chicken')
('4748', 'yogurt')
('1403', 'salty snack')
('1403', 'sliced cheese')
('1654', 'shopping bags')
('1654', 'rum')
('1659', 'chewing gum')
('1838', 'pork')
('1838', 'hard cheese')
('2085', 'pip fruit')
('2292', 'margarine')
('2292', 'root vegetables')
('2408', 'sausage')
('2408', 'yogurt')
('2786', 'sausage')
('3229', 'white bread')
('3791', 'yogurt')
('3925', 'turkey')
('3925', 'beef')
('3925', 'root vegetables')
('3925', 'shopping bags')
('3925', 'curd')
('3960', 'tropical fruit')
('1133', 'pork')
('1133', 'napkins')
('1225', 'bottled beer')
('1225', 'other vegetables')
('1276', 'hard cheese')
('1276', 'yogurt')
('1316', 'frozen vegetables')
('1324', 'processed cheese')
('1382', 'pip fruit')
('1494', 'sausage')
('2312', 'red/blush wine')
('2480', 'yogurt')
('2480', 'fruit/vegetable juice')
('2601', 'ham')
('2601', 'root vegetables')
('2601', 'rolls/buns')
('2601', 'processed cheese')
('2601', 'whole milk')
('3045', 'coffee')
('3071', 'coffee')
('3336', 'tropical fruit')
('3847', 'beef')
('3847', 'candy')
('4228', 'pip fruit')
('4228', 'bottled water')
('4228', 'mustard')
('4323', 'brown bread')
('4391', 'hygiene articles')
('4501', 'butter milk')
('4501', 'berries')
('4510', 'bottled beer')
('4510', 'ice cream')
('4510', 'red/blush wine')
('4776', 'canned beer')
('4776', 'bottled beer')
('4776', 'candy')
('4778', 'salty snack')
('4778', 'bottled water')
('4778', 'frozen vegetables')
('4778', 'yogurt')
('4881', 'coffee')
('4929', 'bottled water')
('1012', 'processed cheese')
('1012', 'whole milk')
('1347', 'pip fruit')
('2487', 'tropical fruit')
('2487', 'canned beer')
('2703', 'hamburger meat')
('2850', 'whole milk')
('2850', 'beef')
('3118', 'liver loaf')
('3214', 'butter')
('3214', 'canned beer')
('3214', 'UHT-milk')
('3214', 'brown bread')
('3436', 'chicken')
('3748', 'canned beer')
('3748', 'butter')
('3748', 'citrus fruit')
('3858', 'rolls/buns')
('3858', 'soda')
('3934', 'whipped/sour cream')
('4864', 'hygiene articles')
('4864', 'pot plants')
('1093', 'dessert')
('1093', 'domestic eggs')
('1355', 'rolls/buns')
('1475', 'frozen meals')
('1475', 'domestic eggs')
('1523', 'bottled water')
('2083', 'brandy')
('2083', 'bottled water')
('2117', 'frozen meals')
('2117', 'bottled water')
('3148', 'frankfurter')
('3148', 'pot plants')
('3190', 'hamburger meat')
('3190', 'tropical fruit')
('3190', 'soda')
('3304', 'soda')
('3471', 'meat')
('3471', 'vinegar')
('3590', 'other vegetables')
('3872', 'specialty chocolate')
('3872', 'dental care')
('3998', 'rolls/buns')
('4861', 'frozen vegetables')
('1452', 'liver loaf')
('1452', 'frozen vegetables')
('1476', 'tropical fruit')
('1790', 'sausage')
('1867', 'root vegetables')
('2244', 'softener')
('2251', 'hamburger meat')
('2669', 'bottled beer')
('3358', 'ham')
('3358', 'bottled beer')
('4131', 'sausage')
('4516', 'curd')
('4756', 'other vegetables')
('4938', 'whipped/sour cream')
('1164', 'whole milk')
('1164', 'root vegetables')
('1164', 'canned vegetables')
('1442', 'newspapers')
('1442', 'long life bakery product')
('1617', 'oil')
('1617', 'waffles')
('1959', 'hamburger meat')
('2500', 'canned beer')
('3761', 'beef')
('3761', 'other vegetables')
('4110', 'soda')
('4242', 'bottled water')
('4449', 'frankfurter')
('4449', 'coffee')
('4449', 'fruit/vegetable juice')
('4606', 'bottled beer')
('4919', 'hard cheese')
('4919', 'pastry')
('4919', 'salty snack')
('2211', 'dessert')
('2211', 'packaged fruit/vegetables')
('2584', 'rolls/buns')
('2584', 'shopping bags')
('2783', 'citrus fruit')
('2783', 'cream cheese ')
('3231', 'sausage')
('3231', 'cocoa drinks')
('3498', 'other vegetables')
('3582', 'root vegetables')
